rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.41,0.51,92.58
2,2,Manchester City,Barclays Premier League,2.84,0.36,91.1
3,3,Barcelona,Spanish Primera Division,2.64,0.45,88.04
4,6,Arsenal,Barclays Premier League,2.37,0.41,86.15
5,4,Paris Saint-Germain,French Ligue 1,2.83,0.68,85.78
6,5,Liverpool,Barclays Premier League,2.75,0.64,85.56
7,7,Real Madrid,Spanish Primera Division,2.65,0.61,85.27
8,12,Newcastle,Barclays Premier League,2.14,0.49,81.68
9,8,FC Porto,Portuguese Liga,2.44,0.69,81.24
10,15,Manchester United,Barclays Premier League,2.3,0.61,81.17
11,10,RB Leipzig,German Bundesliga,2.48,0.73,81.05
12,9,Napoli,Italy Serie A,2.44,0.71,80.84
13,14,Internazionale,Italy Serie A,2.5,0.76,80.72
14,11,Chelsea,Barclays Premier League,2.12,0.54,80.32
15,16,Ajax,Dutch Eredivisie,2.93,1.07,80.06
16,13,Benfica,Portuguese Liga,2.39,0.76,79.13
17,17,Tottenham Hotspur,Barclays Premier League,2.31,0.74,78.59
18,18,AC Milan,Italy Serie A,2.29,0.74,78.15
19,19,Brighton and Hove Albion,Barclays Premier League,2.23,0.71,77.97
20,20,Borussia Dortmund,German Bundesliga,2.33,0.84,76.56
21,21,Zenit St Petersburg,Russian Premier Liga,2.09,0.69,76.46
22,22,Athletic Bilbao,Spanish Primera Division,1.9,0.57,76.31
23,23,Atletico Madrid,Spanish Primera Division,1.97,0.66,75.4
24,24,Marseille,French Ligue 1,2.06,0.72,75.26
25,25,FC Salzburg,Austrian T-Mobile Bundesliga,2.09,0.78,74.29
26,26,Eintracht Frankfurt,German Bundesliga,2.14,0.83,74.07
27,29,Real Sociedad,Spanish Primera Division,1.82,0.61,74.0
28,27,PSV,Dutch Eredivisie,2.36,1.0,73.75
29,28,Bayer Leverkusen,German Bundesliga,2.12,0.84,73.44
30,38,Aston Villa,Barclays Premier League,1.9,0.69,73.42
31,33,Villarreal,Spanish Primera Division,1.85,0.65,73.39
32,32,Feyenoord,Dutch Eredivisie,2.21,0.92,73.07
33,34,SC Freiburg,German Bundesliga,2.11,0.85,72.97
34,35,Juventus,Italy Serie A,1.96,0.75,72.95
35,30,AS Roma,Italy Serie A,1.89,0.71,72.69
36,36,Lille,French Ligue 1,1.9,0.73,72.52
37,39,Stade Rennes,French Ligue 1,1.99,0.81,71.93
38,31,West Ham United,Barclays Premier League,1.82,0.69,71.84
39,40,Sporting CP,Portuguese Liga,1.97,0.8,71.84
40,37,Lyon,French Ligue 1,2.01,0.85,71.5
41,41,Celtic,Scottish Premiership,2.4,1.14,71.47
42,46,Lens,French Ligue 1,1.84,0.73,71.31
43,43,Atalanta,Italy Serie A,2.07,0.91,70.93
44,42,Valencia,Spanish Primera Division,1.87,0.78,70.75
45,45,Palmeiras,Brasileiro Série A,1.81,0.74,70.63
46,54,Brentford,Barclays Premier League,2.08,0.94,70.49
47,48,VfL Wolfsburg,German Bundesliga,2.0,0.9,70.07
48,44,Fiorentina,Italy Serie A,1.96,0.88,69.91
49,47,AS Monaco,French Ligue 1,1.99,0.91,69.75
50,49,Osasuna,Spanish Primera Division,1.68,0.68,69.63
51,50,Real Betis,Spanish Primera Division,1.65,0.65,69.63
52,51,Mainz,German Bundesliga,1.95,0.89,69.42
53,52,Leicester City,Barclays Premier League,1.89,0.86,68.95
54,55,TSG Hoffenheim,German Bundesliga,2.05,1.02,68.28
55,58,Celta Vigo,Spanish Primera Division,1.7,0.75,68.18
56,53,Lazio,Italy Serie A,1.86,0.88,67.9
57,57,Borussia Monchengladbach,German Bundesliga,2.17,1.14,67.65
58,60,Flamengo,Brasileiro Série A,1.8,0.85,67.46
59,56,Sevilla FC,Spanish Primera Division,1.72,0.79,67.39
60,61,1. FC Union Berlin,German Bundesliga,1.69,0.77,67.34
61,59,Rayo Vallecano,Spanish Primera Division,1.74,0.82,67.15
62,62,Atletico Mineiro,Brasileiro Série A,1.56,0.69,66.93
63,63,Genk,Belgian Jupiler League,2.08,1.11,66.75
64,70,Fulham,Barclays Premier League,1.9,0.97,66.68
65,66,Fenerbahce,Turkish Turkcell Super Lig,2.1,1.15,66.24
66,67,FC Cologne,German Bundesliga,1.93,1.01,66.21
67,73,Braga,Portuguese Liga,1.83,0.93,66.17
68,65,Crystal Palace,Barclays Premier League,1.69,0.82,66.13
69,68,FC Twente,Dutch Eredivisie,1.81,0.93,65.84
70,69,VfB Stuttgart,German Bundesliga,1.93,1.04,65.47
71,64,Mallorca,Spanish Primera Division,1.56,0.75,65.35
72,71,Udinese,Italy Serie A,1.85,0.99,65.2
73,72,Leeds United,Barclays Premier League,1.92,1.06,64.88
74,74,Rangers,Scottish Premiership,1.94,1.09,64.38
75,75,Young Boys,Swiss Raiffeisen Super League,1.99,1.14,64.23
76,76,Girona FC,Spanish Primera Division,1.79,0.99,64.15
77,77,Fluminense,Brasileiro Série A,1.62,0.85,63.83
78,88,Getafe,Spanish Primera Division,1.44,0.71,63.77
79,79,Monterrey,Mexican Primera Division Torneo Clausura,1.73,0.95,63.67
80,81,Werder Bremen,German Bundesliga,1.86,1.07,63.42
81,83,Club Brugge,Belgian Jupiler League,1.94,1.14,63.31
82,82,Wolverhampton,Barclays Premier League,1.59,0.85,63.24
83,85,Slavia Prague,UEFA Europa Conference League,1.83,1.06,63.09
84,80,Nice,French Ligue 1,1.57,0.84,63.07
85,86,Hertha Berlin,German Bundesliga,1.75,1.0,63.07
86,78,Torino,Italy Serie A,1.6,0.87,62.92
87,87,AZ,Dutch Eredivisie,1.85,1.1,62.56
88,92,Espanyol,Spanish Primera Division,1.61,0.91,62.41
89,89,Internacional,Brasileiro Série A,1.58,0.89,62.15
90,84,Southampton,Barclays Premier League,1.71,1.01,61.87
91,91,Dinamo Zagreb,UEFA Champions League,1.8,1.09,61.85
92,90,Strasbourg,French Ligue 1,1.78,1.09,61.44
93,93,Club América,Mexican Primera Division Torneo Clausura,1.67,1.0,61.28
94,94,São Paulo,Brasileiro Série A,1.53,0.89,60.93
95,95,Sassuolo,Italy Serie A,1.77,1.13,60.25
96,96,Tigres UANL,Mexican Primera Division Torneo Clausura,1.73,1.1,60.25
97,98,Union Saint Gilloise,Belgian Jupiler League,1.81,1.17,60.06
98,97,Everton,Barclays Premier League,1.62,1.02,59.74
99,99,Spartak Moscow,Russian Premier Liga,1.75,1.14,59.73
100,100,Bodo/Glimt,Norwegian Tippeligaen,2.15,1.49,59.7
101,102,Reims,French Ligue 1,1.57,0.99,59.55
102,106,Almeria,Spanish Primera Division,1.61,1.03,59.2
103,101,Shakhtar Donetsk,UEFA Europa League,1.82,1.23,58.84
104,103,KAA Gent,Belgian Jupiler League,1.61,1.06,58.61
105,104,Slovácko,UEFA Europa Conference League,1.77,1.21,58.54
106,105,Red Star Belgrade,UEFA Europa League,1.75,1.19,58.52
107,107,FC Utrecht,Dutch Eredivisie,1.83,1.3,57.63
108,108,FC Copenhagen,Danish SAS-Ligaen,1.61,1.1,57.63
109,114,Bologna,Italy Serie A,1.63,1.12,57.53
110,124,Nottingham Forest,Barclays Premier League,1.53,1.03,57.4
111,109,FC Augsburg,German Bundesliga,1.77,1.27,57.22
112,111,Molde,Norwegian Tippeligaen,1.88,1.37,56.95
113,112,Galatasaray,Turkish Turkcell Super Lig,1.63,1.14,56.94
114,121,Verona,Italy Serie A,1.61,1.13,56.89
115,110,Real Valladolid,Spanish Primera Division,1.53,1.06,56.76
116,115,Philadelphia Union,Major League Soccer,1.73,1.27,56.22
117,123,Monza,Italy Serie A,1.52,1.08,56.16
118,118,Schalke 04,German Bundesliga,1.61,1.17,56.06
119,119,Pachuca,Mexican Primera Division Torneo Clausura,1.59,1.15,55.94
120,122,Burnley,English League Championship,1.47,1.05,55.6
121,116,Sheffield United,English League Championship,1.54,1.12,55.47
122,117,Cadiz,Spanish Primera Division,1.49,1.08,55.36
123,131,Olympiacos,Greek Super League,1.45,1.04,55.32
124,113,AFC Bournemouth,Barclays Premier League,1.57,1.16,55.22
125,125,Viktoria Plzen,UEFA Champions League,1.82,1.41,54.85
126,126,Los Angeles FC,Major League Soccer,1.74,1.35,54.71
127,127,VfL Bochum,German Bundesliga,1.66,1.27,54.6
128,129,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.5,1.12,54.59
129,130,Ferencvaros,UEFA Europa League,1.63,1.25,54.53
130,142,Toulouse,French Ligue 1,1.59,1.21,54.43
131,151,Middlesbrough,English League Championship,1.46,1.09,54.39
132,132,SC Dnipro-1,UEFA Europa Conference League,1.67,1.29,54.36
133,120,Lorient,French Ligue 1,1.51,1.15,54.24
134,134,Yokohama F. Marinos,Japanese J League,1.73,1.36,54.04
135,135,América Mineiro,Brasileiro Série A,1.42,1.06,54.04
136,133,Nantes,French Ligue 1,1.45,1.1,53.99
137,148,Lecce,Italy Serie A,1.39,1.04,53.97
138,136,Corinthians,Brasileiro Série A,1.24,0.89,53.97
139,137,Fortaleza,Brasileiro Série A,1.34,1.0,53.96
140,138,Dinamo Moscow,Russian Premier Liga,1.62,1.27,53.86
141,149,West Bromwich Albion,English League Championship,1.32,0.98,53.82
142,139,CSKA Moscow,Russian Premier Liga,1.45,1.1,53.8
143,140,River Plate,Argentina Primera Division,1.44,1.1,53.77
144,141,Santos Laguna,Mexican Primera Division Torneo Clausura,1.58,1.23,53.68
145,144,Trabzonspor,Turkish Turkcell Super Lig,1.59,1.26,53.46
146,128,AC Ajaccio,French Ligue 1,1.38,1.06,53.37
147,145,FK Partizan Belgrade,UEFA Europa Conference League,1.48,1.16,53.23
148,157,Clermont Foot,French Ligue 1,1.45,1.13,53.2
149,161,Montpellier,French Ligue 1,1.54,1.23,53.14
150,146,Dynamo Kiev,UEFA Europa League,1.51,1.19,53.06
151,147,Anderlecht,Belgian Jupiler League,1.49,1.18,52.93
152,152,Brest,French Ligue 1,1.51,1.21,52.7
153,150,Cruz Azul,Mexican Primera Division Torneo Clausura,1.39,1.09,52.7
154,154,Troyes,French Ligue 1,1.59,1.31,52.38
155,153,Antwerp,Belgian Jupiler League,1.54,1.26,52.05
156,159,Angers,French Ligue 1,1.46,1.2,51.97
157,155,Steaua Bucuresti,UEFA Europa Conference League,1.5,1.24,51.89
158,156,Kawasaki Frontale,Japanese J League,1.77,1.51,51.84
159,158,FC Midtjylland,Danish SAS-Ligaen,1.53,1.27,51.74
160,163,Besiktas,Turkish Turkcell Super Lig,1.62,1.36,51.71
161,143,AEK Athens,Greek Super League,1.41,1.15,51.66
162,160,New York City FC,Major League Soccer,1.6,1.35,51.62
163,168,Millwall,English League Championship,1.33,1.09,51.43
164,162,Guadalajara,Mexican Primera Division Torneo Clausura,1.4,1.16,51.38
165,165,Heerenveen,Dutch Eredivisie,1.45,1.22,50.93
