Pos,ID,Name,BV,SV,Team,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts
G,1,Raya,6.0,6.0,Arsenal,89.09,89.09,89.09,89.09,89.09,3.62,4.14,3.74,4.26,4.06
G,2,Arrizabalaga,5.0,5.0,Arsenal,0.91,0.91,0.91,0.91,0.91,0.04,0.05,0.04,0.05,0.05
G,3,Meslier,5.0,5.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,29,M.Bizot,4.5,4.5,Aston Villa,1.81,1.81,1.81,1.81,1.81,0.08,0.08,0.06,0.07,0.06
G,597,Suzuki,5.0,5.0,Aston Villa,88.17,88.17,88.17,88.17,88.17,3.67,3.66,3.05,3.22,3.0
G,57,Petrović,4.5,4.5,Bournemouth,89.99,89.99,89.99,89.99,89.99,2.86,3.12,2.77,2.66,3.71
G,58,Forster,4.0,4.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,59,Dennis,4.0,4.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,615,Di Gregorio,4.5,4.5,Bournemouth,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
G,82,Kelleher,5.0,5.0,Brentford,89.09,89.09,89.09,89.09,89.09,3.96,3.31,3.15,3.34,2.96
G,83,Valdimarsson,4.5,4.5,Brentford,0.93,0.91,0.91,0.91,0.91,0.05,0.04,0.04,0.04,0.04
G,109,Verbruggen,4.5,4.5,Brighton,89.09,89.09,89.09,89.09,89.09,3.59,3.56,2.85,3.54,3.64
G,111,Steele,4.0,4.0,Brighton,0.91,0.91,0.91,0.91,0.91,0.04,0.04,0.04,0.04,0.04
G,28,Martinez,5.0,5.0,Chelsea,89.09,89.09,89.09,89.09,89.09,2.78,4.16,3.21,3.73,3.59
G,140,Sánchez,4.9,4.9,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,141,Jörgensen,5.0,5.0,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,560,Penders,4.5,4.5,Chelsea,0.9,0.9,0.9,0.9,0.9,0.03,0.04,0.03,0.03,0.03
G,110,Rushworth,4.5,4.5,Coventry City,89.09,89.09,89.09,89.09,89.09,2.18,2.99,3.11,2.99,2.77
G,171,Dovin,4.0,4.0,Coventry City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,172,Wilson,4.5,4.5,Coventry City,0.91,0.91,0.91,0.91,0.91,0.03,0.04,0.04,0.04,0.03
G,623,Bentley,4.0,4.0,Coventry City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,198,Henderson,5.0,5.0,Crystal Palace,89.09,89.09,89.09,89.09,89.09,3.14,3.6,3.21,3.54,2.95
G,199,Benitez,4.5,4.5,Crystal Palace,0.91,0.91,0.91,0.91,0.91,0.04,0.04,0.04,0.04,0.04
G,555,Matthews,4.0,4.0,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,226,Pickford,5.5,5.5,Everton,90.0,90.0,90.0,90.0,90.0,3.13,3.04,3.82,3.81,3.03
G,227,Travers,5.0,5.0,Everton,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
G,228,King,4.5,4.5,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,250,Leno,4.5,4.5,Fulham,89.09,89.09,89.09,89.09,89.09,3.44,2.41,3.04,3.4,3.94
G,251,Lecomte,4.0,4.0,Fulham,0.91,0.91,0.91,0.91,0.91,0.04,0.03,0.04,0.04,0.05
G,252,McNally,4.0,4.0,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,273,Phillips,4.0,4.0,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,274,Butland,4.5,4.5,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,275,Cartwright,4.0,4.0,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,276,Lo-Tutala,4.0,4.0,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,572,Tzolakis,4.6,4.6,Hull City,90.0,90.0,90.0,90.0,89.99,3.01,2.26,2.57,3.19,2.86
G,300,Walton,4.5,4.5,Ipswich Town,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
G,301,Palmer,4.0,4.0,Ipswich Town,0.9,0.9,0.9,0.9,0.9,0.02,0.03,0.03,0.03,0.02
