rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.79,0.25,92.42
2,2,Bayern Munich,German Bundesliga,3.3,0.6,90.65
3,3,Chelsea,Barclays Premier League,2.42,0.2,90.53
4,4,Barcelona,Spanish Primera Division,3.14,0.56,90.1
5,5,Liverpool,Barclays Premier League,2.69,0.4,89.17
6,6,RB Leipzig,German Bundesliga,2.47,0.43,86.71
7,7,Real Madrid,Spanish Primera Division,2.46,0.43,86.48
8,8,Manchester United,Barclays Premier League,2.41,0.46,85.53
9,9,Paris Saint-Germain,French Ligue 1,2.6,0.61,84.59
10,10,Borussia Dortmund,German Bundesliga,2.71,0.67,84.52
11,11,Atletico Madrid,Spanish Primera Division,2.23,0.41,84.51
12,12,Atalanta,Italy Serie A,2.57,0.62,84.07
13,13,Arsenal,Barclays Premier League,2.18,0.42,83.72
14,14,Internazionale,Italy Serie A,2.42,0.57,83.37
15,15,Juventus,Italy Serie A,2.51,0.68,82.28
16,16,Sevilla FC,Spanish Primera Division,2.09,0.45,81.75
17,17,Real Sociedad,Spanish Primera Division,2.12,0.51,80.82
18,18,Ajax,Dutch Eredivisie,2.71,0.89,80.64
19,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.01,79.72
20,20,Villarreal,Spanish Primera Division,2.15,0.59,79.62
21,21,Napoli,Italy Serie A,2.28,0.67,79.55
22,22,AC Milan,Italy Serie A,2.22,0.64,79.36
23,23,AS Monaco,French Ligue 1,2.1,0.57,79.15
24,24,VfL Wolfsburg,German Bundesliga,2.19,0.65,78.74
25,25,Brighton and Hove Albion,Barclays Premier League,1.97,0.51,78.71
26,26,Leicester City,Barclays Premier League,2.14,0.64,78.22
27,27,Tottenham Hotspur,Barclays Premier League,2.31,0.76,78.06
28,28,Zenit St Petersburg,Russian Premier Liga,2.38,0.8,78.05
29,29,FC Porto,Portuguese Liga,2.11,0.69,76.76
30,30,Lyon,French Ligue 1,2.31,0.82,76.68
31,31,Lille,French Ligue 1,1.68,0.42,76.46
32,32,Real Betis,Spanish Primera Division,1.97,0.62,76.09
33,33,Bayer Leverkusen,German Bundesliga,2.09,0.7,76.07
34,34,West Ham United,Barclays Premier League,2.18,0.76,76.0
35,35,Benfica,Portuguese Liga,2.16,0.78,75.29
36,36,Leeds United,Barclays Premier League,2.13,0.78,74.94
37,37,Getafe,Spanish Primera Division,1.6,0.43,74.73
38,38,Borussia Monchengladbach,German Bundesliga,2.25,0.91,73.78
39,39,Eintracht Frankfurt,German Bundesliga,2.35,1.0,73.61
40,40,Athletic Bilbao,Spanish Primera Division,1.78,0.6,73.29
41,41,AS Roma,Italy Serie A,2.17,0.9,72.88
42,42,Lazio,Italy Serie A,2.11,0.86,72.82
43,43,Everton,Barclays Premier League,1.86,0.7,72.28
44,44,Aston Villa,Barclays Premier League,2.02,0.82,72.18
45,45,Celta Vigo,Spanish Primera Division,2.03,0.83,72.04
46,46,TSG Hoffenheim,German Bundesliga,2.17,0.94,71.92
47,47,Sporting CP,Portuguese Liga,1.81,0.7,71.41
48,48,Rangers,Scottish Premiership,2.07,0.89,71.39
49,49,Young Boys,Swiss Raiffeisen Super League,2.19,0.98,71.34
50,50,Eibar,Spanish Primera Division,1.77,0.68,71.16
51,51,Shakhtar Donetsk,UEFA Europa League,2.17,0.99,70.89
52,52,1. FC Union Berlin,German Bundesliga,1.87,0.77,70.77
53,54,Olympiacos,Greek Super League,1.9,0.8,70.51
54,55,Sassuolo,Italy Serie A,2.08,0.94,70.38
55,56,Stade Rennes,French Ligue 1,1.67,0.65,70.17
56,57,Mainz,German Bundesliga,1.99,0.89,70.09
57,58,Wolverhampton,Barclays Premier League,1.73,0.72,69.61
58,53,Flamengo,Brasileiro Série A,2.0,0.95,68.87
59,59,Fulham,Barclays Premier League,1.68,0.74,68.01
60,60,Osasuna,Spanish Primera Division,1.72,0.77,67.89
61,61,Newcastle,Barclays Premier League,1.93,0.94,67.79
62,62,PSV,Dutch Eredivisie,2.08,1.06,67.79
63,63,SC Freiburg,German Bundesliga,1.88,0.92,67.32
64,64,SD Huesca,Spanish Primera Division,1.61,0.72,67.22
65,65,Brentford,English League Championship,1.74,0.83,67.01
66,66,Southampton,Barclays Premier League,1.88,0.93,67.01
67,67,Hertha Berlin,German Bundesliga,1.76,0.84,66.88
68,68,Burnley,Barclays Premier League,1.85,0.92,66.79
69,69,Valencia,Spanish Primera Division,1.83,0.91,66.65
70,70,Alavés,Spanish Primera Division,1.71,0.82,66.6
71,71,AZ,Dutch Eredivisie,2.02,1.08,66.3
72,72,Dinamo Zagreb,UEFA Europa League,1.91,1.0,66.22
73,73,VfB Stuttgart,German Bundesliga,2.02,1.09,65.99
74,74,Slavia Prague,UEFA Europa League,1.85,0.96,65.89
75,75,Club Brugge,Belgian Jupiler League,1.91,1.01,65.81
76,76,River Plate,Argentina Primera Division,1.74,0.88,65.48
77,77,Norwich City,English League Championship,1.82,0.97,65.03
78,78,Marseille,French Ligue 1,1.71,0.9,64.55
79,79,Levante,Spanish Primera Division,1.75,0.95,64.25
80,80,Strasbourg,French Ligue 1,1.64,0.88,63.63
81,81,Sampdoria,Italy Serie A,1.73,0.96,63.36
82,82,FC Cologne,German Bundesliga,1.8,1.03,63.33
83,83,Galatasaray,Turkish Turkcell Super Lig,1.86,1.09,62.87
84,84,Besiktas,Turkish Turkcell Super Lig,1.97,1.19,62.69
85,85,Granada,Spanish Primera Division,1.67,0.95,62.48
86,86,Arminia Bielefeld,German Bundesliga,1.63,0.92,62.46
87,87,Real Valladolid,Spanish Primera Division,1.63,0.92,62.24
88,88,FC Midtjylland,Danish SAS-Ligaen,1.81,1.08,62.19
89,89,Genk,Belgian Jupiler League,2.07,1.3,62.18
90,91,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
91,92,Kawasaki Frontale,Japanese J League,1.88,1.16,61.74
92,93,Dynamo Kiev,UEFA Europa League,1.77,1.07,61.74
93,94,Lokomotiv Moscow,Russian Premier Liga,1.63,0.95,61.69
94,95,Verona,Italy Serie A,1.58,0.91,61.66
95,96,Crystal Palace,Barclays Premier League,1.69,1.0,61.55
96,97,Spartak Moscow,Russian Premier Liga,1.8,1.1,61.39
97,110,Atletico Mineiro,Brasileiro Série A,1.54,0.89,61.35
98,98,Fiorentina,Italy Serie A,1.62,0.96,61.32
99,99,Celtic,Scottish Premiership,1.85,1.15,61.31
100,100,Lens,French Ligue 1,1.65,0.99,61.22
101,101,Cagliari,Italy Serie A,1.68,1.01,61.21
102,102,Braga,Portuguese Liga,1.62,0.97,60.93
103,104,CSKA Moscow,Russian Premier Liga,1.64,1.0,60.64
104,105,PAOK Salonika,Greek Super League,1.47,0.85,60.57
105,106,St Etienne,French Ligue 1,1.53,0.91,60.51
106,90,Palmeiras,Brasileiro Série A,1.59,0.96,60.51
107,107,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
108,108,Werder Bremen,German Bundesliga,1.68,1.05,60.13
109,109,Espanyol,Spanish Segunda Division,1.6,0.99,60.03
110,103,Monterrey,Mexican Primera Division Torneo Apertura,1.64,1.02,60.03
111,111,West Bromwich Albion,Barclays Premier League,1.78,1.16,59.72
112,112,Elche,Spanish Primera Division,1.54,0.95,59.63
113,113,Nantes,French Ligue 1,1.57,0.97,59.62
114,114,Watford,English League Championship,1.52,0.94,59.48
115,115,Bologna,Italy Serie A,1.83,1.22,59.45
116,116,Sochi,Russian Premier Liga,1.57,0.99,59.33
117,117,Feyenoord,Dutch Eredivisie,1.81,1.21,59.22
118,118,FC Augsburg,German Bundesliga,1.66,1.08,59.03
119,119,Rapid Vienna,Austrian T-Mobile Bundesliga,1.81,1.22,58.91
120,121,Torino,Italy Serie A,1.66,1.11,58.53
121,122,Nice,French Ligue 1,1.6,1.06,58.42
122,123,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
123,124,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
124,125,KAA Gent,Belgian Jupiler League,1.68,1.13,58.18
