Pos,Name,BV,SV,Team,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0
D,David Luiz,5.4,5.4,Arsenal,39,1.684
M,Aubameyang,11.3,11.3,Arsenal,63,5.385
D,Cédric,4.6,4.6,Arsenal,2,0.086
F,Lacazette,8.4,8.4,Arsenal,49,3.675
D,Mustafi,5.0,5.0,Arsenal,0,0
G,Leno,5.0,5.0,Arsenal,87,3.821
M,Xhaka,5.2,5.2,Arsenal,68,2.269
D,Marí,4.4,4.4,Arsenal,28,1.156
D,Bellerín,5.0,5.0,Arsenal,9,0.418
G,Martínez,5.4,5.4,Aston Villa,88,3.097
D,Chambers,4.5,4.5,Arsenal,73,3.459
D,Kolasinac,4.8,4.8,Arsenal,0,0
D,Maitland-Niles,4.6,4.6,West Brom,64,1.235
D,Holding,4.3,4.2,Arsenal,66,2.689
D,Tierney,5.2,5.2,Arsenal,86,4.136
M,Pépé,7.6,7.6,Arsenal,50,3.305
M,Torreira,4.7,4.7,Arsenal,0,0
M,Willock,4.8,4.8,Newcastle,75,3.027
M,Nelson,5.1,5.1,Arsenal,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0
M,Smith Rowe,4.2,4.2,Arsenal,68,3.562
M,Saka,5.1,5.1,Arsenal,62,3.292
M,Guendouzi,4.7,4.7,Arsenal,0,0
M,Martinelli,4.9,4.9,Arsenal,47,2.845
D,Saliba,4.0,4.0,Arsenal,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0
D,El Mohamady,4.2,4.2,Aston Villa,74,1.488
M,Lansbury,4.3,4.3,Aston Villa,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0
G,Steer,3.9,3.9,Aston Villa,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0
M,Jota,5.9,5.9,Aston Villa,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0
D,Engels,4.4,4.4,Aston Villa,0,0
M,Grealish,7.5,7.5,Aston Villa,83,3.138
M,McGinn,5.5,5.5,Aston Villa,86,2.372
D,Hause,4.4,4.4,Aston Villa,23,0.504
M,Trézéguet,5.2,5.2,Aston Villa,0,0
D,Mings,5.4,5.4,Aston Villa,83,1.545
D,Targett,5.0,5.0,Aston Villa,87,1.753
D,Bree,4.5,4.5,Aston Villa,0,0
M,Nakamba,4.3,4.3,Aston Villa,12,0.352
M,El Ghazi,5.2,5.2,Aston Villa,58,2.412
D,Konsa,4.7,4.7,Aston Villa,85,1.601
