rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.9,0.2,93.73
2,2,Liverpool,Barclays Premier League,2.92,0.25,93.15
3,3,Bayern Munich,German Bundesliga,3.62,0.56,93.01
4,4,Chelsea,Barclays Premier League,2.39,0.29,88.69
5,5,Barcelona,Spanish Primera Division,2.6,0.49,86.87
6,6,Ajax,Dutch Eredivisie,3.05,0.77,86.2
7,7,Real Madrid,Spanish Primera Division,2.51,0.57,84.4
8,8,RB Leipzig,German Bundesliga,2.58,0.68,83.01
9,9,Arsenal,Barclays Premier League,2.16,0.46,82.65
10,10,Paris Saint-Germain,French Ligue 1,2.57,0.71,82.48
11,11,Internazionale,Italy Serie A,2.42,0.62,82.46
12,12,Tottenham Hotspur,Barclays Premier League,2.36,0.65,81.07
13,13,Borussia Dortmund,German Bundesliga,2.57,0.78,80.98
14,14,Villarreal,Spanish Primera Division,2.23,0.58,80.87
15,15,Atletico Madrid,Spanish Primera Division,2.16,0.59,79.85
16,16,FC Porto,Portuguese Liga,2.29,0.7,78.99
17,17,Manchester United,Barclays Premier League,2.19,0.67,78.34
18,18,Atalanta,Italy Serie A,2.15,0.67,77.81
19,19,Bayer Leverkusen,German Bundesliga,2.41,0.85,77.52
20,20,FC Salzburg,Austrian T-Mobile Bundesliga,2.29,0.79,77.25
21,21,Athletic Bilbao,Spanish Primera Division,1.94,0.56,77.07
22,22,Napoli,Italy Serie A,2.06,0.66,76.68
23,23,AC Milan,Italy Serie A,2.05,0.65,76.67
24,24,PSV,Dutch Eredivisie,2.48,0.95,76.51
25,25,Aston Villa,Barclays Premier League,1.99,0.63,76.17
26,26,Sporting CP,Portuguese Liga,1.98,0.64,75.93
27,27,Mainz,German Bundesliga,2.06,0.71,75.42
28,28,Real Sociedad,Spanish Primera Division,1.8,0.56,74.83
29,29,Stade Rennes,French Ligue 1,2.1,0.77,74.8
30,30,Benfica,Portuguese Liga,2.18,0.84,74.52
31,31,West Ham United,Barclays Premier League,2.02,0.73,74.37
32,32,Brighton and Hove Albion,Barclays Premier League,1.85,0.62,74.19
33,33,Celta Vigo,Spanish Primera Division,1.86,0.64,74.03
34,34,Sevilla FC,Spanish Primera Division,1.67,0.51,74.01
35,35,AS Roma,Italy Serie A,2.02,0.76,73.85
36,36,Feyenoord,Dutch Eredivisie,2.31,0.97,73.59
37,37,Juventus,Italy Serie A,1.99,0.75,73.29
38,38,Crystal Palace,Barclays Premier League,1.89,0.69,73.11
39,39,AS Monaco,French Ligue 1,1.86,0.68,72.92
40,40,Real Betis,Spanish Primera Division,1.94,0.74,72.89
41,41,Lazio,Italy Serie A,2.04,0.82,72.62
42,42,TSG Hoffenheim,German Bundesliga,2.21,0.95,72.45
43,43,Lyon,French Ligue 1,1.96,0.78,72.3
44,44,Wolverhampton,Barclays Premier League,1.73,0.61,72.2
45,45,Fiorentina,Italy Serie A,1.91,0.76,71.72
46,46,Lille,French Ligue 1,1.71,0.64,71.33
47,47,Zenit St Petersburg,Russian Premier Liga,2.12,0.96,70.92
48,48,Osasuna,Spanish Primera Division,1.69,0.65,70.42
49,49,FC Cologne,German Bundesliga,1.92,0.85,69.99
50,50,SC Freiburg,German Bundesliga,1.99,0.9,69.91
51,51,Strasbourg,French Ligue 1,1.8,0.76,69.78
52,52,Valencia,Spanish Primera Division,1.83,0.79,69.55
53,53,Eintracht Frankfurt,German Bundesliga,1.98,0.91,69.47
54,54,Southampton,Barclays Premier League,1.94,0.89,69.24
55,55,1. FC Union Berlin,German Bundesliga,1.82,0.81,69.05
56,56,Getafe,Spanish Primera Division,1.54,0.61,68.74
57,57,Leicester City,Barclays Premier League,2.04,1.0,68.63
58,59,Borussia Monchengladbach,German Bundesliga,2.16,1.1,68.29
59,58,Torino,Italy Serie A,1.69,0.74,68.26
60,60,Flamengo,Brasileiro Série A,1.88,0.9,67.91
61,61,Brentford,Barclays Premier League,1.8,0.85,67.69
62,62,Rayo Vallecano,Spanish Primera Division,1.68,0.77,67.2
63,63,Newcastle,Barclays Premier League,1.75,0.82,67.19
64,64,Verona,Italy Serie A,1.85,0.92,67.01
65,65,VfL Wolfsburg,German Bundesliga,1.83,0.91,66.73
66,66,Marseille,French Ligue 1,1.72,0.82,66.71
67,67,AZ,Dutch Eredivisie,1.89,0.97,66.52
68,68,Celtic,Scottish Premiership,1.98,1.06,65.98
69,69,Braga,Portuguese Liga,1.66,0.83,65.47
70,70,VfL Bochum,German Bundesliga,1.73,0.89,65.25
71,71,Dinamo Zagreb,UEFA Europa League,1.83,0.98,64.93
72,72,Fulham,English League Championship,1.81,0.97,64.86
73,73,Burnley,Barclays Premier League,1.62,0.83,64.37
74,74,Udinese,Italy Serie A,1.73,0.93,64.29
75,75,Palmeiras,Brasileiro Série A,1.77,0.98,63.97
76,76,Everton,Barclays Premier League,1.7,0.93,63.71
77,77,Shakhtar Donetsk,UEFA Champions League,1.96,1.14,63.71
78,78,Sassuolo,Italy Serie A,2.1,1.27,63.61
79,79,Slavia Prague,UEFA Europa Conference League,1.85,1.05,63.58
80,80,Atletico Mineiro,Brasileiro Série A,1.74,0.97,63.4
81,81,Club Brugge,Belgian Jupiler League,2.05,1.24,63.2
82,82,Tigres UANL,Mexican Primera Division Torneo Clausura,1.8,1.04,62.92
83,83,Leeds United,Barclays Premier League,1.92,1.15,62.8
84,84,VfB Stuttgart,German Bundesliga,1.89,1.13,62.7
85,85,Monterrey,Mexican Primera Division Torneo Clausura,1.66,0.94,62.64
86,86,Rangers,Scottish Premiership,1.8,1.07,62.36
87,87,Espanyol,Spanish Primera Division,1.69,0.98,62.32
88,88,Elche,Spanish Primera Division,1.59,0.9,62.04
89,89,Olympiacos,Greek Super League,1.56,0.89,61.58
90,90,Mallorca,Spanish Primera Division,1.65,0.98,61.28
91,91,Lens,French Ligue 1,1.58,0.92,61.28
92,92,River Plate,Argentina Primera Division,1.61,0.95,61.26
93,93,Nice,French Ligue 1,1.48,0.85,61.06
94,94,FC Augsburg,German Bundesliga,1.75,1.08,60.96
95,95,FC Utrecht,Dutch Eredivisie,1.85,1.2,60.2
96,96,Nantes,French Ligue 1,1.47,0.87,60.16
97,97,Levante,Spanish Primera Division,1.73,1.11,59.95
98,98,FC Copenhagen,Danish SAS-Ligaen,1.79,1.17,59.75
99,99,FC Twente,Dutch Eredivisie,1.64,1.05,59.55
100,100,CSKA Moscow,Russian Premier Liga,1.48,0.91,59.47
101,101,Bologna,Italy Serie A,1.55,0.98,59.24
102,102,Watford,Barclays Premier League,1.65,1.08,59.0
103,103,Cadiz,Spanish Primera Division,1.5,0.94,59.0
104,104,Dynamo Kiev,UEFA Champions League,1.66,1.09,58.89
105,105,Anderlecht,Belgian Jupiler League,1.66,1.11,58.47
106,106,Trabzonspor,Turkish Turkcell Super Lig,1.68,1.13,58.3
107,107,Kawasaki Frontale,Japanese J League,1.71,1.17,58.1
108,108,Bodo/Glimt,Norwegian Tippeligaen,1.75,1.22,57.93
109,109,Alavés,Spanish Primera Division,1.59,1.07,57.9
110,110,Reims,French Ligue 1,1.37,0.87,57.87
111,111,Hertha Berlin,German Bundesliga,1.68,1.17,57.3
112,112,Union Saint Gilloise,Belgian Jupiler League,1.64,1.15,57.21
113,113,KAA Gent,Belgian Jupiler League,1.42,0.94,57.2
114,114,Gil Vicente,Portuguese Liga,1.46,0.98,57.11
115,115,Granada,Spanish Primera Division,1.6,1.13,56.63
116,116,Brest,French Ligue 1,1.53,1.07,56.52
117,117,Red Star Belgrade,UEFA Europa League,1.69,1.22,56.42
118,118,Young Boys,Swiss Raiffeisen Super League,1.96,1.48,56.39
119,119,Sampdoria,Italy Serie A,1.62,1.16,56.24
120,120,Toulouse,French Ligue 2,1.76,1.31,56.11
121,121,Club América,Mexican Primera Division Torneo Clausura,1.51,1.07,56.06
122,122,FC Krasnodar,Russian Premier Liga,1.61,1.16,56.04
123,123,Boca Juniors,Argentina Primera Division,1.39,0.96,55.99
124,124,Genk,Belgian Jupiler League,1.74,1.29,55.9
125,125,Montpellier,French Ligue 1,1.54,1.11,55.85
126,126,Pachuca,Mexican Primera Division Torneo Clausura,1.54,1.11,55.79
127,127,Cruz Azul,Mexican Primera Division Torneo Clausura,1.54,1.12,55.56
128,128,Sparta Prague,UEFA Europa League,1.61,1.2,55.28
129,129,Dinamo Moscow,Russian Premier Liga,1.5,1.09,55.22
130,130,Empoli,Italy Serie A,1.66,1.25,55.07
131,131,São Paulo,Brasileiro Série A,1.37,0.98,55.06
132,132,Corinthians,Brasileiro Série A,1.37,0.98,54.95
133,133,PAOK Salonika,Greek Super League,1.4,1.01,54.87
134,134,AFC Bournemouth,English League Championship,1.49,1.1,54.73
135,135,Angers,French Ligue 1,1.35,0.98,54.73
136,136,Fenerbahce,Turkish Turkcell Super Lig,1.66,1.27,54.69
137,137,Cagliari,Italy Serie A,1.59,1.21,54.61
138,138,Vitesse,Dutch Eredivisie,1.58,1.2,54.6
139,139,LASK Linz,Austrian T-Mobile Bundesliga,1.6,1.23,54.34
140,140,Ferencvaros,UEFA Europa League,1.62,1.25,54.15
141,141,Arminia Bielefeld,German Bundesliga,1.48,1.13,53.95
142,142,FC Midtjylland,Danish SAS-Ligaen,1.57,1.22,53.74
143,143,Sheffield United,English League Championship,1.44,1.1,53.73
144,144,Lorient,French Ligue 1,1.36,1.03,53.61
145,145,Guimaraes,Portuguese Liga,1.5,1.17,53.46
146,146,Famalicao,Portuguese Liga,1.35,1.03,53.31
147,147,Basel,Swiss Raiffeisen Super League,1.87,1.54,53.28
148,148,Norwich City,Barclays Premier League,1.51,1.19,53.01
149,149,St Etienne,French Ligue 1,1.32,1.02,52.85
150,150,Los Angeles FC,Major League Soccer,1.65,1.34,52.77
151,151,Bragantino,Brasileiro Série A,1.46,1.16,52.72
152,152,Fluminense,Brasileiro Série A,1.32,1.03,52.6
153,153,Sochi,Russian Premier Liga,1.42,1.15,52.2
154,154,Internacional,Brasileiro Série A,1.4,1.13,52.15
155,155,Molde,Norwegian Tippeligaen,1.81,1.54,52.02
156,156,New York City FC,Major League Soccer,1.55,1.28,52.02
157,157,Genoa,Italy Serie A,1.32,1.06,52.0
158,158,Troyes,French Ligue 1,1.33,1.07,51.76
159,159,Middlesbrough,English League Championship,1.36,1.11,51.49
160,160,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.65,1.41,51.34
161,161,Spartak Moscow,Russian Premier Liga,1.46,1.22,51.33
162,162,SpVgg Greuther Fürth,German Bundesliga,1.54,1.3,51.29
163,163,Santos Laguna,Mexican Primera Division Torneo Clausura,1.47,1.23,51.23
164,164,Clermont Foot,French Ligue 1,1.37,1.14,51.11
165,165,FC Zurich,Swiss Raiffeisen Super League,1.72,1.52,50.65
166,166,Luton Town,English League Championship,1.31,1.1,50.6
167,167,Atlético Paranaense,Brasileiro Série A,1.3,1.09,50.59
168,168,Atlas,Mexican Primera Division Torneo Clausura,1.21,1.0,50.56
169,169,Rapid Vienna,Austrian T-Mobile Bundesliga,1.55,1.34,50.49
170,170,Nottingham Forest,English League Championship,1.29,1.09,50.39
171,171,FK Partizan Belgrade,UEFA Europa Conference League,1.42,1.22,50.35
172,172,Kashima Antlers,Japanese J League,1.42,1.23,50.29
173,173,Antwerp,Belgian Jupiler League,1.45,1.26,50.28
174,174,Maccabi Tel-Aviv,UEFA Europa Conference League,1.3,1.11,50.21
175,175,Yokohama F. Marinos,Japanese J League,1.53,1.35,49.94
176,176,Legia Warsaw,UEFA Europa League,1.43,1.26,49.78
177,177,Santa Clara,Portuguese Liga,1.3,1.13,49.7
178,178,Spezia,Italy Serie A,1.43,1.28,49.41
179,179,Defensa y Justicia,Argentina Primera Division,1.34,1.19,49.27
180,180,América Mineiro,Brasileiro Série A,1.3,1.15,49.25
181,181,León,Mexican Primera Division Torneo Clausura,1.36,1.22,49.07
182,182,Coventry City,English League Championship,1.35,1.21,48.87
183,183,Santos,Brasileiro Série A,1.22,1.08,48.8
184,184,Puebla,Mexican Primera Division Torneo Clausura,1.37,1.24,48.78
185,185,Werder Bremen,German 2. Bundesliga,1.62,1.5,48.77
186,186,West Bromwich Albion,English League Championship,1.23,1.1,48.73
187,187,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.38,1.25,48.73
188,188,Schalke 04,German 2. Bundesliga,1.6,1.49,48.55
189,189,Boavista,Portuguese Liga,1.27,1.15,48.35
190,190,FC Groningen,Dutch Eredivisie,1.42,1.31,48.25
191,191,Guadalajara,Mexican Primera Division Torneo Clausura,1.32,1.21,48.15
192,192,Estoril Praia,Portuguese Liga,1.24,1.15,47.74
193,193,FC Sheriff Tiraspol,UEFA Europa League,1.49,1.41,47.71
194,194,Fortaleza,Brasileiro Série A,1.24,1.15,47.64
195,195,Philadelphia Union,Major League Soccer,1.38,1.32,47.08
196,196,New York Red Bulls,Major League Soccer,1.36,1.31,47.06
197,197,Sporting de Charleroi,Belgian Jupiler League,1.44,1.39,47.02
198,198,Portimonense,Portuguese Liga,1.18,1.12,46.93
199,199,Lokomotiv Moscow,Russian Premier Liga,1.34,1.3,46.73
200,200,Velez Sarsfield,Argentina Primera Division,1.15,1.09,46.64
201,201,Monza,Italy Serie B,1.31,1.28,46.5
202,202,Ceará,Brasileiro Série A,1.24,1.2,46.41
203,203,Alanyaspor,Turkish Turkcell Super Lig,1.64,1.63,46.4
204,204,Heracles,Dutch Eredivisie,1.34,1.32,46.35
205,205,Malmo FF,Swedish Allsvenskan,1.45,1.43,46.31
206,206,Rosenborg,Norwegian Tippeligaen,1.55,1.54,46.2
207,207,Bordeaux,French Ligue 1,1.46,1.44,46.16
208,208,Heerenveen,Dutch Eredivisie,1.34,1.33,46.05
209,209,Preston North End,English League Championship,1.14,1.11,46.01
210,210,KV Mechelen,Belgian Jupiler League,1.64,1.66,45.94
211,211,Krylia Sovetov,Russian Premier Liga,1.25,1.24,45.92
212,212,Anorthosis Famagusta,UEFA Europa Conference League,1.27,1.26,45.86
213,213,F.B.C Unione Venezia,Italy Serie A,1.39,1.39,45.86
214,214,Besiktas,Turkish Turkcell Super Lig,1.48,1.49,45.83
215,215,Stoke City,English League Championship,1.2,1.19,45.82
216,216,Pacos Ferreira,Portuguese Liga,1.15,1.13,45.78
217,217,FK Qarabag,UEFA Europa Conference League,1.4,1.4,45.72
218,218,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.26,1.25,45.68
219,219,Columbus Crew,Major League Soccer,1.48,1.5,45.63
220,220,Urawa Red Diamonds,Japanese J League,1.29,1.29,45.61
221,221,Brondby,Danish SAS-Ligaen,1.25,1.26,45.5
222,222,Panathinaikos,Greek Super League,1.06,1.05,45.41
223,223,Adana Demirspor,Turkish Turkcell Super Lig,1.3,1.32,45.2
224,224,Blackburn,English League Championship,1.1,1.1,45.12
225,225,Vizela,Portuguese Liga,1.32,1.35,44.95
226,226,Maritimo,Portuguese Liga,1.2,1.22,44.81
227,227,New England Revolution,Major League Soccer,1.58,1.65,44.67
228,228,Hamburg SV,German 2. Bundesliga,1.45,1.51,44.59
229,229,Konyaspor,Turkish Turkcell Super Lig,1.34,1.39,44.57
230,230,Rostov,Russian Premier Liga,1.4,1.46,44.43
231,231,AaB,Danish SAS-Ligaen,1.41,1.48,44.3
232,232,Millwall,English League Championship,1.09,1.13,44.21
233,233,CSKA Sofia,UEFA Europa Conference League,1.12,1.17,44.21
234,234,Galatasaray,Turkish Turkcell Super Lig,1.38,1.46,44.14
235,235,St Gallen,Swiss Raiffeisen Super League,1.64,1.75,43.95
236,236,Cardiff City,English League Championship,1.15,1.22,43.93
237,237,NEC,Dutch Eredivisie,1.44,1.53,43.89
238,238,Salernitana,Italy Serie A,1.43,1.52,43.83
239,239,Los Angeles Galaxy,Major League Soccer,1.4,1.49,43.83
240,240,Seattle Sounders FC,Major League Soccer,1.3,1.39,43.74
241,241,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.44,1.55,43.63
242,242,Estudiantes,Argentina Primera Division,1.25,1.34,43.62
243,243,CFR 1907 Cluj,UEFA Europa Conference League,1.26,1.37,43.25
244,245,Kasimpasa,Turkish Turkcell Super Lig,1.43,1.56,43.1
245,246,Metz,French Ligue 1,1.11,1.21,42.97
246,247,Argentinos Juniors,Argentina Primera Division,1.07,1.16,42.97
