,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,257,Ederson,43,1,61,24,4.472,False,1,1,12.1,4.472
1,234,Robertson,14,2,71,24,5.127999999999999,False,1,1,4.3,5.127999999999999
2,237,Alexander-Arnold,14,2,85,24,5.909,False,1,1,46.9,5.909
3,256,Cancelo,43,2,71,24,5.579,False,1,1,45.7,5.579
4,367,Sánchez,6,2,46,24,4.242,False,1,1,3.2,4.242
5,370,Reguilón,6,2,54,24,4.622,False,1,1,17.4,4.622
6,233,Salah,14,3,127,24,6.752999999999999,True,2,1,36.2,13.505999999999998
7,265,Foden,43,3,80,24,5.814,False,1,1,7.9,5.814
8,416,Lanzini,21,3,58,24,4.606,False,1,1,0.8,4.606
9,420,Bowen,21,3,68,24,5.687,False,1,1,28.7,5.687
10,413,Antonio,21,4,79,24,5.157,False,1,1,42.3,5.157
11,295,Dubravka,4,1,44,24,3.7,False,0,0,0.6,0.0
12,365,Højbjerg,6,3,49,24,3.241,False,0,0,3.2,0.0
13,315,Pukki,45,4,58,24,4.136,False,0,0,4.4,0.0
14,329,Idah,45,4,49,24,2.849,False,0,0,0.7,0.0
