,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,295,Dubravka,4,1,44,24,3.699,False,1,1,0.6,3.699
1,234,Robertson,14,2,71,24,5.078,False,1,1,4.3,5.078
2,237,Alexander-Arnold,14,2,85,24,5.952000000000001,False,1,1,46.9,5.952000000000001
3,256,Cancelo,43,2,71,24,5.426,False,1,1,45.7,5.426
4,259,Laporte,43,2,57,24,4.749,False,1,1,7.9,4.749
5,367,Sánchez,6,2,46,24,4.228,False,1,1,3.2,4.228
6,233,Salah,14,3,127,24,6.855,True,2,1,36.2,13.71
7,265,Foden,43,3,80,24,5.961,False,1,1,8.0,5.961
8,416,Lanzini,21,3,58,24,4.542,False,1,1,0.8,4.542
9,420,Bowen,21,3,68,24,5.582999999999998,False,1,1,28.7,5.582999999999998
10,357,Kane,6,4,123,24,5.973,False,1,1,13.6,5.973
11,313,McGovern,45,1,39,24,0.0,False,0,0,0.6,0.0
12,405,Baah,57,3,43,24,0.0,False,0,0,0.1,0.0
13,533,Richardson,90,4,44,24,0.0,False,0,0,1.3,0.0
14,595,Locadia,36,4,44,24,0.0,False,0,0,1.3,0.0
