,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,100.0,100.0,80201,0,0,-5,5,0,1,0.0,-0.5,0,Bernd,0.0,1,False,,2021-12-06T23:00:13.342729Z,45,80201.jpg,1.3,Leno,0.9,False,,a,1,3,4,62062,72,183889,155,0.0,0.9,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,331,26,551,61,531,55,386,26,,,,,,
1,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,0.6,False,,u,1,3,0,19017,0,72518,204,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,481,47,467,25,431,15,484,47,,,,,,
2,0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,,u,1,3,0,914,0,20371,4,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664,271,664,271,664,271,664,271,,,,,,
3,0.0,0.0,54694,0,0,-4,4,0,4,0.0,0.0,0,Pierre-Emerick,0.2,4,False,International Duty - Expected back 10 Feb,2021-12-31T15:00:18.553448Z,96,54694.jpg,3.1,Aubameyang,1.6,False,,i,1,3,44,742172,23,870426,1402,0.0,4.6,Aubameyang,1036,4,1,6,16,0,0,2,3,0,0,7,131,217.6,132.4,582.0,92.9,159,19,160,28,14,6,44,13,,,,,1.0,
4,100.0,25.0,58822,0,0,-3,3,0,2,0.2,-0.1,0,Cédric,0.2,5,False,,2021-12-26T18:00:26.076921Z,42,58822.jpg,0.5,Soares,0.1,False,,a,1,3,2,12931,20,24958,32,0.0,0.5,Cédric,214,0,0,0,8,0,0,0,1,0,0,0,25,31.4,40.5,1.0,7.3,390,144,285,88,404,153,391,140,,,,,,
5,100.0,100.0,59966,0,0,-1,1,1,4,5.0,4.5,2,Alexandre,5.0,6,False,,2021-08-13T14:30:14.582063Z,84,59966.jpg,3.1,Lacazette,4.5,False,,a,1,3,46,741831,6090,562107,4881,0.6,5.5,Lacazette,858,3,3,5,7,0,0,1,0,0,0,3,164,234.0,197.0,309.0,73.9,144,18,99,13,59,24,75,20,,,5.0,,2.0,
6,100.0,100.0,84450,0,0,-2,2,0,3,2.3,1.8,1,Granit,2.3,7,False,,2021-09-26T22:30:11.256623Z,48,84450.jpg,1.8,Xhaka,0.3,False,,a,1,3,18,24738,188,82258,127,0.5,3.8,Xhaka,825,0,1,3,15,0,0,0,4,1,0,0,102,125.2,140.6,79.0,34.4,271,112,148,91,234,126,240,115,,,4.0,,,
7,100.0,100.0,92371,0,0,-3,3,0,2,0.0,-0.5,0,Pablo,0.0,8,False,,2021-12-18T22:30:09.516192Z,42,92371.jpg,0.5,Marí,0.1,False,,a,1,3,1,5574,12,14011,14,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,352,134,368,132,367,133,385,136,,,,,,
8,0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.2,False,,u,1,3,0,3737,0,70065,17,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,626,222,621,222,611,220,626,222,,,,,,
9,75.0,25.0,101184,0,0,-3,3,0,2,0.0,-0.1,0,Calum,0.0,10,False,Illness - 75% chance of playing,2021-12-22T10:00:16.802435Z,42,101184.jpg,0.5,Chambers,0.2,False,,d,1,3,1,10057,0,30949,28,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,365,138,349,120,364,130,389,138,,,,,,
10,0.0,0.0,111457,0,0,-3,3,0,2,0.0,0.0,0,Sead,0.0,11,False,Ankle injury - Expected back 22 Jan,2021-11-17T16:00:15.591844Z,42,111457.jpg,0.0,Kolasinac,0.1,False,,i,1,3,0,3675,1,11100,10,0.0,0.0,Kolasinac,91,0,0,0,5,0,0,0,1,0,0,0,6,4.2,0.2,0.0,0.4,443,163,438,164,483,196,457,163,,,,,,
11,0.0,100.0,153256,0,0,-1,1,0,3,0.0,-0.2,1,Mohamed Naser,0.3,12,False,International Duty - Expected back 10 Feb,2022-01-01T17:00:18.558719Z,44,153256.jpg,1.6,El Sayed Elneny,0.3,False,,i,1,3,11,34777,25,67223,295,0.1,2.5,Elneny,171,0,1,0,6,0,0,0,0,0,0,0,42,44.4,49.3,7.0,10.1,368,157,267,154,381,184,372,167,,,,,,
12,100.0,25.0,154043,0,0,-3,3,0,3,0.0,-0.1,0,Ainsley,0.0,13,False,,2021-12-22T10:00:16.820362Z,52,154043.jpg,1.5,Maitland-Niles,0.1,False,,a,1,3,12,4647,28,8935,22,0.0,2.3,Maitland-Niles,263,0,0,2,4,0,0,0,0,0,0,0,44,42.6,41.3,9.0,9.3,369,158,283,158,372,180,377,170,,,,,,
13,100.0,100.0,156074,0,0,-4,4,0,2,1.2,0.7,0,Rob,1.2,14,False,,2021-09-11T17:30:15.865590Z,41,156074.jpg,1.4,Holding,0.5,False,,a,1,3,7,30735,211,148575,196,0.3,1.7,Holding,318,0,0,1,8,0,0,0,2,0,0,0,55,94.2,1.3,26.0,12.2,313,123,408,150,329,112,364,129,,,,,,
14,0.0,100.0,167199,0,0,0,0,0,3,0.0,1.8,2,Thomas,2.3,15,False,International Duty - Expected back 10 Feb,2022-01-01T17:00:18.568879Z,50,167199.jpg,2.6,Partey,0.3,False,,i,1,3,41,62934,128,51836,679,0.5,8.2,Partey,1323,1,0,7,16,0,0,0,3,0,0,1,204,212.2,160.0,209.0,58.3,167,57,130,81,99,53,122,64,,,3.0,,,
15,100.0,100.0,192895,0,0,-1,1,3,2,8.3,7.8,4,Kieran,8.3,16,False,,2021-10-22T22:30:11.717934Z,49,192895.jpg,5.3,Tierney,9.0,False,,a,1,3,74,1043978,38339,887708,1956,1.7,15.1,Tierney,1196,1,3,7,15,0,0,0,0,0,0,9,294,244.0,218.4,155.0,61.9,135,58,82,17,144,28,105,26,,,,,,
