,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,383,Lloris,6,1,55,8,4.016,False,1,1,4.016
1,66,Webster,36,2,44,8,3.756,False,1,1,3.756
2,110,Zouma,8,2,52,8,3.903,False,1,1,3.903
3,232,Chilwell,8,2,59,8,4.699,False,1,1,4.699
4,4,Aubameyang,3,3,117,8,5.849,False,1,1,5.849
5,141,Zaha,31,3,74,8,4.204,False,1,1,4.204
6,370,Ward-Prowse,20,3,59,8,4.3260000000000005,False,1,1,4.3260000000000005
7,390,Son,6,3,96,8,5.629,False,1,1,5.629
8,117,Werner,8,4,93,8,5.457999999999998,False,1,1,5.457999999999998
9,377,Adams,20,4,58,8,4.487,False,1,1,4.487
10,388,Kane,6,4,110,8,6.5070000000000014,True,2,1,13.014000000000003
11,213,Meslier,2,1,45,8,3.78,False,0,0,0.0
12,375,Walker-Peters,20,2,45,8,3.647,False,0,0,0.0
13,443,Balbuena,21,2,44,8,3.406,False,0,0,0.0
14,449,Soucek,21,3,49,8,3.286,False,0,0,0.0
