,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,363,McCarthy,20,1,45,8,3.852,False,1,1,3.852
1,66,Webster,36,2,44,8,3.812,False,1,1,3.812
2,232,Chilwell,8,2,59,8,4.949,False,1,1,4.949
3,239,Justin,13,2,48,8,3.721,False,1,1,3.721
4,375,Walker-Peters,20,2,45,8,3.706,False,1,1,3.706
5,457,Doherty,6,2,58,8,4.228,False,1,1,4.228
6,4,Aubameyang,3,3,117,8,5.792999999999998,False,1,1,5.792999999999998
7,370,Ward-Prowse,20,3,59,8,4.652,False,1,1,4.652
8,68,Maupay,36,4,65,8,4.68,False,1,1,4.68
9,117,Werner,8,4,93,8,5.359,False,1,1,5.359
10,388,Kane,6,4,110,8,6.4529999999999985,True,2,1,12.905999999999997
11,548,Mendy,8,1,51,8,4.022,False,0,0,0.0
12,69,Trossard,36,3,60,8,4.119,False,0,0,0.0
13,390,Son,6,3,96,8,5.561,False,0,0,0.0
14,449,Soucek,21,3,49,8,3.4760000000000004,False,0,0,0.0
