,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,383,Lloris,6,1,55,8,4.006,False,1,1,4.006
1,66,Webster,36,2,44,8,3.824,False,1,1,3.824
2,232,Chilwell,8,2,59,8,4.539,False,1,1,4.539
3,375,Walker-Peters,20,2,45,8,3.759,False,1,1,3.759
4,4,Aubameyang,3,3,117,8,5.917999999999998,False,1,1,5.917999999999998
5,370,Ward-Prowse,20,3,58,8,4.421,False,1,1,4.421
6,390,Son,6,3,96,8,5.565,False,1,1,5.565
7,500,Havertz,8,3,84,8,4.468,False,1,1,4.468
8,117,Werner,8,4,93,8,5.359,False,1,1,5.359
9,377,Adams,20,4,58,8,4.577,False,1,1,4.577
10,388,Kane,6,4,109,8,6.516,True,2,1,13.032
11,213,Meslier,2,1,45,8,3.803,False,0,0,0.0
12,16,Holding,3,2,44,8,3.252,False,0,0,0.0
13,443,Balbuena,21,2,44,8,3.434,False,0,0,0.0
14,449,Soucek,21,3,49,8,3.297,False,0,0,0.0
